Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,OrderTime,OrderDate,Order Status,Delivery,Distance,DistanceKM,Items in order,Item_Count,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,,
20320607,Swaad,Sector 4,Delhi NCR,6168884918,"11:38 PM, September 10 2024",11:38 PM, September 10 2024,Delivered,Zomato Delivery,3km,3,"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi",,,40% off upto Rs.80,715,31.75,80,0,0,0,666.75,,,,,,18.35,11.6,Correctly,,5d6c2b96db963098bc69768bea504c8bf46106a8a5178edf91a42e66a8179458,,
20320607,Swaad,Sector 4,Delhi NCR,6170707559,"11:34 PM, September 10 2024",11:34 PM, September 10 2024,Delivered,Zomato Delivery,2km,2,"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender",,,Flat Rs.175 off,1179,50.2,175,0,0,0,1054.2,,,,,,16.95,3.6,Correctly,,0781815deb4a10a574e9fee4fa0b86b074d4a0b36175d5a626dbc4710568bff4,,
20320607,Swaad,Sector 4,Delhi NCR,6169375019,"03:52 PM, September 10 2024",3:52 PM, September 10 2024,Delivered,Zomato Delivery,<1km,0.5,1 x Bone in Peri Peri Grilled Chicken,,,40% off upto Rs.80,310,11.5,80,0,0,0,241.5,,,,,,14.05,12.2,Correctly,,f93362f5ce5382657482d164e368186bcec9c6225fd93d374453a2e6983151de,,
20320607,Swaad,Sector 4,Delhi NCR,6151677434,"03:45 PM, September 10 2024",3:45 PM, September 10 2024,Delivered,Zomato Delivery,2km,2,"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)",,,40% off upto Rs.80,620,27,80,0,0,0,567,4,,,,,19,3.3,Correctly,,1ed226d1b8a5f7acee12fc1d6676558330a3b2b742af5d5c9d3ea550397d49ac,,
20320607,Swaad,Sector 4,Delhi NCR,6167540897,"03:04 PM, September 10 2024",3:04 PM, September 10 2024,Delivered,Zomato Delivery,2km,2,"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender",,,40% off upto Rs.80,584,25.2,80,0,0,0,529.2,,,,,,15.97,1,Correctly,,d21a2ac6ea06b31cc3288ab20c4ef2f292066c096f2c5f110a3098eeb39596d9,,
20320607,Swaad,Sector 4,Delhi NCR,6164725184,"12:28 PM, September 10 2024",12:28 PM, September 10 2024,Delivered,Zomato Delivery,1km,1,"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Jamaican Grilled Chicken",,,40% off upto Rs.80,715,31.75,80,0,0,0,666.75,5,,,,,20.48,1,Correctly,,4103fd4f3ee2166d322e76fabd420ae15f14a2816ca5a3be43133260bb1327f4,,
20320607,Swaad,Sector 4,Delhi NCR,6151460444,"12:03 AM, September 10 2024",12:03 AM, September 10 2024,Delivered,Zomato Delivery,6km,6,1 x Bone in Jamaican Grilled Chicken,,,40% off upto Rs.80,370,14.5,80,0,0,0,304.5,,,,,,10.53,7,Incorrectly,,24d7ca74eb1efe217e88062d2519403ba11d62f5953186d71cfd3a02233275ab,,
20320607,Swaad,Sector 4,Delhi NCR,6167255032,"10:54 PM, September 09 2024",10:54 PM, September 09 2024,Delivered,Zomato Delivery,2km,2,1 x Bone in Angara Grilled Chicken,,,40% off upto Rs.80,310,11.5,80,0,0,0,241.5,,,,,,9.68,1.5,Correctly,,fa1710c1c41dd4f29b810b78f8e7c08a356ca0fdc3930713e020e1ed258ceb4e,,
20320607,Swaad,Sector 4,Delhi NCR,6167184688,"10:51 PM, September 09 2024",10:51 PM, September 09 2024,Delivered,Zomato Delivery,1km,1,"1 x Fried Chicken Angara Tender, 1 x Angara Rice",,,40% off upto Rs.80,473,19.65,80,0,0,0,412.65,,,,,,15.2,8.3,Correctly,,c521ccf21e7bb2207c3f08d578b6e028d2c3b25986cb35dd5930ede1d8a643da,,
20320607,Swaad,Sector 4,Delhi NCR,6163081676,"03:22 PM, September 09 2024",3:22 PM, September 09 2024,Delivered,Zomato Delivery,<1km,0.5,1 x Grilled Chicken Peri Peri Tangdi,,,40% off upto Rs.80,405,16.25,80,0,0,0,341.25,,,,,,11.38,3.7,Correctly,,ac2ee09679412d4248884cdfd7637d9b3529eeac0e2f27a6c143a53bba064764,,
